Reporter,Partner,Year,Export_Value_USD
USA,CHN,2015,116186262295.0
USA,CHN,2016,115775122765.0
USA,CHN,2017,129997227243.0
USA,CHN,2018,120281213791.0
USA,CHN,2019,106481217316.0
USA,CHN,2020,124581510375.0
USA,CHN,2021,151431944117.0
USA,CHN,2022,154012073132.0
USA,CHN,2023,147805636446.0
USA,DEU,2015,49946651212.0
USA,DEU,2016,49361983668.0
USA,DEU,2017,53965424642.0
USA,DEU,2018,57757642813.0
USA,DEU,2019,60403911977.0
USA,DEU,2020,58001636678.0
USA,DEU,2021,65307924357.0
USA,DEU,2022,72553407512.0
USA,DEU,2023,76699257272.0
USA,MEX,2015,236377370534.0
USA,MEX,2016,230959098958.0
USA,MEX,2017,243608974625.0
USA,MEX,2018,265968016784.0
USA,MEX,2019,256676487323.0
USA,MEX,2020,212512806763.0
USA,MEX,2021,277077631592.0
USA,MEX,2022,324309526814.0
USA,MEX,2023,323227913110.0
USA,CAN,2015,280016650255.0
USA,CAN,2016,265960645314.0
USA,CAN,2017,282773829896.0
USA,CAN,2018,299731711825.0
USA,CAN,2019,292820257565.0
USA,CAN,2020,256212256538.0
USA,CAN,2021,309604001291.0
USA,CAN,2022,356452564116.0
USA,CAN,2023,353234775076.0
USA,RUS,2015,7086655834.0
USA,RUS,2016,5797520847.0
USA,RUS,2017,7002916799.0
USA,RUS,2018,6658080414.0
USA,RUS,2019,5787392292.0
USA,RUS,2020,4889087214.0
USA,RUS,2021,6385990814.0
USA,RUS,2022,1662770314.0
USA,RUS,2023,597274158.0
